datetime,open,high,low,close,volume,ohlc4,sma,smoothing_sma,sma_diff,sma_sign,sma_crossover,sma_signal,brick_color,day_of_week,day_of_week_transition,take_profit,stop_loss,position_count,cum_position_count,stop_loss_hit,
16:28.6,1.0893,1.08965,1.089,1.089,832,1.0892375,1.089499167,1.089475833,2.33E-05,1,0,buy,red,Monday,0,,1.089,0,2297,1,0
55:39.7,1.0875,1.0878,1.08746,1.0878,95,1.08764,1.087315833,1.087316944,-1.11E-06,-1,0,sell,green,Wednesday,0,,1.0878,0,2338,1,0
21:50.4,1.0875,1.08786,1.0872,1.0872,1374,1.08744,1.087714167,1.087694167,2.00E-05,1,0,buy,red,Wednesday,0,,1.0872,0,2339,1,0
33:01.6,1.0911,1.0914,1.09086,1.0914,316,1.09119,1.090920833,1.090929444,-8.61E-06,-1,0,sell,green,Thursday,0,,1.0914,0,2424,1,0
31:44.9,1.0857,1.086,1.08538,1.086,108,1.08577,1.085495,1.085516389,-2.14E-05,-1,0,sell,green,Friday,0,,1.086,0,2448,1,0
30:25.8,1.0731,1.07314,1.0728,1.0728,286,1.07296,1.073291667,1.073281389,1.03E-05,1,0,buy,red,Wednesday,0,,1.0728,0,2571,1,0
54:32.9,1.0731,1.0734,1.073,1.0734,328,1.073225,1.072913333,1.072915,-1.67E-06,-1,0,sell,green,Thursday,0,,1.0734,0,2580,1,0
26:30.0,1.0785,1.0788,1.0785,1.0788,147,1.07865,1.078346667,1.078353333,-6.67E-06,-1,0,sell,green,Thursday,0,,1.0788,0,2586,1,0
54:57.0,1.0731,1.07347,1.0728,1.0728,4076,1.0730425,1.073295,1.073263889,3.11E-05,1,0,buy,red,Friday,0,,1.0728,0,2595,1,0
49:29.2,1.0692,1.0695,1.06893,1.0695,360,1.0692825,1.06899,1.069006111,-1.61E-05,-1,0,sell,green,Wednesday,0,,1.0695,0,2710,1,0
03:44.1,1.0692,1.0695,1.06912,1.0695,704,1.06933,1.069021667,1.069026944,-5.28E-06,-1,0,sell,green,Thursday,0,,1.0695,0,2750,1,0
38:40.2,1.0638,1.06411,1.0635,1.0635,1802,1.0637275,1.064023333,1.064000278,2.31E-05,1,0,buy,red,Friday,0,,1.0635,0,2759,1,0
