cum_position_count,entry_price,entry_time,exit_time,first_TP_hit,exit_price,direction,secondary_profit,primary_profit,profit,swap,swap_rate,nova_profit_inp,msolutions_profit_inp,nova_profit,msolutions_profit,entry_day_of_week,exit_day_of_week,nova_cum_sum,msolutions_cum_sum
608.0,1.0682750000000003,2023-03-07 03:00:00,2023-03-07 04:36:00,1.0,1.066650000000001, short,812.4999999996606,162.5,1624.9999999993213,0,0.0,944.9999999996606,924.9999999996606,1594.9999999993213,1574.9999999993213,Tuesday,Tuesday,117935.00007585378,105775.00007585378
609.0,1.066000000000001,2023-03-07 04:43:00,2023-03-07 05:23:00,1.0,1.066325000000001, short,-162.50000000006537,162.5,-325.00000000013074,0,0.0,-30.00000000006537,-50.00000000006537,-355.00000000013074,-375.00000000013074,Tuesday,Tuesday,117580.00007585365,105400.00007585365
610.0,1.065675000000001,2023-03-07 08:53:00,2023-03-07 09:53:00,1.0,1.0650250000000014, short,324.99999999979764,162.5,649.9999999995953,0,0.0,457.49999999979764,437.49999999979764,619.9999999995953,599.9999999995953,Tuesday,Tuesday,118200.00007585324,106000.00007585324
611.0,1.0643750000000014,2023-03-07 12:00:00,2023-03-07 12:20:00,1.0,1.0578750000000035, short,3249.999999998976,162.5,6499.999999997952,0,0.0,3382.499999998976,3362.499999998976,6469.999999997952,6449.999999997952,Tuesday,Tuesday,124670.00007585119,112450.00007585119
612.0,1.0572250000000034,2023-03-07 12:41:00,2023-03-07 19:59:00,1.0,1.0549500000000043, short,1137.4999999995694,162.5,2274.9999999991387,1,-2.5970197899400443e-05,1269.9999740293715,1249.9999740293715,2244.999974028941,2224.999974028941,Tuesday,Tuesday,126915.00004988012,114675.00004988012
613.0,1.0543000000000042,2023-03-07 21:15:00,2023-03-08 00:35:00,1.0,1.0533250000000047, short,487.49999999975205,162.5,974.9999999995041,0,0.0,619.999999999752,599.999999999752,944.9999999995041,924.9999999995041,Tuesday,Wednesday,127860.00004987963,115600.00004987963
614.0,1.0543000000000045,2023-03-08 02:37:00,2023-03-08 03:04:00,1.0,1.0539750000000043, buy,-162.50000000006537,162.5,-325.00000000013074,0,0.0,-30.00000000006537,-50.00000000006537,-355.00000000013074,-375.00000000013074,Wednesday,Wednesday,127505.0000498795,115225.0000498795
615.0,1.0546250000000044,2023-03-08 03:09:00,2023-03-08 03:16:00,0.0,1.0539750000000043, buy,-650.0000000000396,0.0,-650.0000000000396,0,0.0,-680.0000000000396,-700.0000000000396,-680.0000000000396,-700.0000000000396,Wednesday,Wednesday,126825.00004987945,114525.00004987945
616.0,1.0546250000000044,2023-03-08 03:28:00,2023-03-08 03:51:00,0.0,1.0539750000000043, buy,-650.0000000000396,0.0,-650.0000000000396,0,0.0,-680.0000000000396,-700.0000000000396,-680.0000000000396,-700.0000000000396,Wednesday,Wednesday,126145.00004987941,113825.00004987941
617.0,1.0546250000000044,2023-03-08 04:37:00,2023-03-08 04:55:00,0.0,1.0539750000000043, buy,-650.0000000000396,0.0,-650.0000000000396,0,0.0,-680.0000000000396,-700.0000000000396,-680.0000000000396,-700.0000000000396,Wednesday,Wednesday,125465.00004987937,113125.00004987937
