2024.02.23 07:19:42.424,"2023.10.16 04:15:00  min_impulse_psar EURUSD,M15: Entering into OnBar"
2024.02.23 07:19:42.424,"2023.10.16 04:15:00  min_impulse_psar EURUSD,M15: Time: 4"
2024.02.23 07:19:42.424,"2023.10.16 04:15:00  min_impulse_psar EURUSD,M15: No Trades Allowed"
2024.02.23 07:19:42.424,"2023.10.16 04:15:00  min_impulse_psar EURUSD,M15: more_trades: false"
2024.02.23 07:19:42.424,"2023.10.16 04:15:00  min_impulse_psar EURUSD,M15: SMI: 30.5937748613589"
2024.02.23 07:19:42.424,"2023.10.16 04:15:00  min_impulse_psar EURUSD,M15: NO TRADE"
2024.02.23 07:19:42.424,"2023.10.16 04:15:00  min_impulse_psar EURUSD,M15: First Cross: false"
2024.02.23 07:19:42.430,"2023.10.16 04:30:00  min_impulse_psar EURUSD,M15: Entering into OnBar"
2024.02.23 07:19:42.431,"2023.10.16 04:30:00  min_impulse_psar EURUSD,M15: Time: 4"
2024.02.23 07:19:42.431,"2023.10.16 04:30:00  min_impulse_psar EURUSD,M15: No Trades Allowed"
2024.02.23 07:19:42.431,"2023.10.16 04:30:00  min_impulse_psar EURUSD,M15: more_trades: false"
2024.02.23 07:19:42.432,"2023.10.16 04:30:00  min_impulse_psar EURUSD,M15: SMI: 52.98973436549228"
2024.02.23 07:19:42.432,"2023.10.16 04:30:00  min_impulse_psar EURUSD,M15: NO TRADE"
2024.02.23 07:19:42.432,"2023.10.16 04:30:00  min_impulse_psar EURUSD,M15: First Cross: false"
2024.02.23 07:19:42.438,"2023.10.16 04:45:00  min_impulse_psar EURUSD,M15: Entering into OnBar"
2024.02.23 07:19:42.438,"2023.10.16 04:45:00  min_impulse_psar EURUSD,M15: Time: 4"
2024.02.23 07:19:42.438,"2023.10.16 04:45:00  min_impulse_psar EURUSD,M15: No Trades Allowed"
2024.02.23 07:19:42.438,"2023.10.16 04:45:00  min_impulse_psar EURUSD,M15: more_trades: false"
2024.02.23 07:19:42.439,"2023.10.16 04:45:00  min_impulse_psar EURUSD,M15: SMI: 52.00440321896402"
2024.02.23 07:19:42.439,"2023.10.16 04:45:00  min_impulse_psar EURUSD,M15: NO TRADE"
2024.02.23 07:19:42.439,"2023.10.16 04:45:00  min_impulse_psar EURUSD,M15: First Cross: false"
2024.02.23 07:19:42.441,"2023.10.16 05:00:00  min_impulse_psar EURUSD,M15: Entering into OnBar"
2024.02.23 07:19:42.441,"2023.10.16 05:00:00  min_impulse_psar EURUSD,M15: Time: 5"
2024.02.23 07:19:42.441,"2023.10.16 05:00:00  min_impulse_psar EURUSD,M15: No Trades Allowed"
2024.02.23 07:19:42.441,"2023.10.16 05:00:00  min_impulse_psar EURUSD,M15: more_trades: false"
2024.02.23 07:19:42.441,"2023.10.16 05:00:00  min_impulse_psar EURUSD,M15: SMI: 42.00678286717684"
2024.02.23 07:19:42.441,"2023.10.16 05:00:00  min_impulse_psar EURUSD,M15: NO TRADE"
2024.02.23 07:19:42.441,"2023.10.16 05:00:00  min_impulse_psar EURUSD,M15: First Cross: false"
2024.02.23 07:19:42.445,"2023.10.16 05:15:00  min_impulse_psar EURUSD,M15: Entering into OnBar"
2024.02.23 07:19:42.445,"2023.10.16 05:15:00  min_impulse_psar EURUSD,M15: Time: 5"
2024.02.23 07:19:42.445,"2023.10.16 05:15:00  min_impulse_psar EURUSD,M15: No Trades Allowed"
2024.02.23 07:19:42.445,"2023.10.16 05:15:00  min_impulse_psar EURUSD,M15: more_trades: false"
2024.02.23 07:19:42.445,"2023.10.16 05:15:00  min_impulse_psar EURUSD,M15: SMI: 63.81036577721283"
2024.02.23 07:19:42.445,"2023.10.16 05:15:00  min_impulse_psar EURUSD,M15: NO TRADE"
2024.02.23 07:19:42.445,"2023.10.16 05:15:00  min_impulse_psar EURUSD,M15: First Cross: false"
2024.02.23 07:19:42.446,"2023.10.16 05:30:00  min_impulse_psar EURUSD,M15: Entering into OnBar"
2024.02.23 07:19:42.446,"2023.10.16 05:30:00  min_impulse_psar EURUSD,M15: Time: 5"
2024.02.23 07:19:42.446,"2023.10.16 05:30:00  min_impulse_psar EURUSD,M15: No Trades Allowed"
2024.02.23 07:19:42.446,"2023.10.16 05:30:00  min_impulse_psar EURUSD,M15: more_trades: false"
2024.02.23 07:19:42.448,"2023.10.16 05:30:00  min_impulse_psar EURUSD,M15: SMI: 59.94413349737925"
2024.02.23 07:19:42.448,"2023.10.16 05:30:00  min_impulse_psar EURUSD,M15: NO TRADE"
2024.02.23 07:19:42.448,"2023.10.16 05:30:00  min_impulse_psar EURUSD,M15: First Cross: false"
2024.02.23 07:19:42.449,"2023.10.16 05:45:00  min_impulse_psar EURUSD,M15: Entering into OnBar"
2024.02.23 07:19:42.449,"2023.10.16 05:45:00  min_impulse_psar EURUSD,M15: Time: 5"
2024.02.23 07:19:42.449,"2023.10.16 05:45:00  min_impulse_psar EURUSD,M15: No Trades Allowed"
2024.02.23 07:19:42.449,"2023.10.16 05:45:00  min_impulse_psar EURUSD,M15: more_trades: false"
2024.02.23 07:19:42.450,"2023.10.16 05:45:00  min_impulse_psar EURUSD,M15: SMI: 55.44499373074386"
2024.02.23 07:19:42.450,"2023.10.16 05:45:00  min_impulse_psar EURUSD,M15: NO TRADE"
2024.02.23 07:19:42.450,"2023.10.16 05:45:00  min_impulse_psar EURUSD,M15: First Cross: false"
2024.02.23 07:19:42.454,"2023.10.16 06:00:00  min_impulse_psar EURUSD,M15: Entering into OnBar"
2024.02.23 07:19:42.454,"2023.10.16 06:00:00  min_impulse_psar EURUSD,M15: Time: 6"
2024.02.23 07:19:42.454,"2023.10.16 06:00:00  min_impulse_psar EURUSD,M15: No Trades Allowed"
2024.02.23 07:19:42.454,"2023.10.16 06:00:00  min_impulse_psar EURUSD,M15: more_trades: false"
2024.02.23 07:19:42.454,"2023.10.16 06:00:00  min_impulse_psar EURUSD,M15: SMI: 37.70413596092542"
2024.02.23 07:19:42.455,"2023.10.16 06:00:00  min_impulse_psar EURUSD,M15: NO TRADE"
2024.02.23 07:19:42.455,"2023.10.16 06:00:00  min_impulse_psar EURUSD,M15: First Cross: false"
2024.02.23 07:19:42.458,"2023.10.16 06:15:00  min_impulse_psar EURUSD,M15: Entering into OnBar"
